95	0,0,-3;0,-2,2;0,2,2;0,-4,-1;0,4,-1;2,0,-5;-2,-2,1;-2,2,1;2,-2,4;2,2,4;2,-4,-2;2,4,-2;4,0,-4;4,-2,3;4,2,3;4,-4,-1;4,4,-1;6,0,-1;6,-2,1;6,2,1
96	0,0,-1;0,-2,1;0,2,1;0,-4,-1;0,4,-1;-2,0,-4;-2,-2,4;-2,2,4;-2,-4,-2;-2,4,-2;-2,-6,1;-2,6,1;-4,0,-4;-4,-2,4;-4,2,4;-4,-4,-2;-4,4,-2;-4,-6,1;-4,6,1;-6,0,-2;-6,-2,1;-6,2,1;-6,-4,-1;-6,4,-1
97	0,0,7;0,-2,-5;0,2,-5;0,-4,1;0,4,1;-2,0,4;2,0,7;-2,-2,-2;-2,2,-2;2,-2,-4;2,2,-4;2,-4,1;2,4,1;-4,0,1;4,0,3;4,-2,-2;4,2,-2;6,0,1
98	2,0,1;2,-2,-1;2,2,-1;2,-4,1;2,4,1;4,0,5;4,-2,-4;4,2,-4;4,-4,3;4,4,3;4,-6,-1;4,6,-1;6,0,5;6,-2,-5;6,2,-5;6,-4,3;6,4,3;6,-6,-1;6,6,-1;8,0,2;8,-2,-2;8,2,-2;8,-4,1;8,4,1
99	0,0,-3;0,-2,3;0,2,3;0,-4,-2;0,4,-2;0,-6,1;0,6,1;2,0,-1;-2,0,-3;2,-2,1;2,2,1;-2,-2,4;-2,2,4;2,-4,-1;2,4,-1;-2,-4,-2;-2,4,-2;-2,-6,1;-2,6,1;-4,0,-2;-4,-2,1;-4,2,1;-4,-4,-1;-4,4,-1
100	0,0,-3;0,-2,3;0,2,3;0,-4,-1;0,4,-1;2,0,-1;-2,0,-6;2,-2,1;2,2,1;-2,-2,4;-2,2,4;-2,-4,-2;-2,4,-2;-4,0,-4;-4,-2,3;-4,2,3;-4,-4,-1;-4,4,-1;-6,0,-1;-6,-2,1;-6,2,1
101	0,0,5;0,-2,-3;0,2,-3;0,-4,3;0,4,3;0,-6,-1;0,6,-1;0,-8,1;0,8,1;-2,0,2;2,0,2;-2,-2,-2;-2,2,-2;2,-2,-2;2,2,-2;-2,-4,1;-2,4,1;2,-4,1;2,4,1;-2,-6,-1;-2,6,-1;2,-6,-1;2,6,-1
102	0,0,-4;0,-2,3;0,2,3;0,-4,-1;0,4,-1;-2,0,-1;2,0,-7;-2,-2,1;-2,2,1;2,-2,5;2,2,5;2,-4,-2;2,4,-2;4,0,-5;4,-2,4;4,2,4;4,-4,-1;4,4,-1;6,0,-2;6,-2,1;6,2,1
103	0,0,-3;0,-2,4;0,2,4;0,-4,-2;0,4,-2;0,-6,1;0,6,1;-2,0,-1;2,0,-5;-2,-2,1;-2,2,1;2,-2,4;2,2,4;-2,-4,-1;-2,4,-1;2,-4,-3;2,4,-3;2,-6,1;2,6,1;4,0,-2;4,-2,2;4,2,2;4,-4,-1;4,4,-1
104	0,-2,1;0,2,1;2,0,-3;2,-2,2;2,2,2;2,-4,-1;2,4,-1;4,0,-4;4,-2,3;4,2,3;4,-4,-1;4,4,-1;6,0,-3;6,-2,2;6,2,2;6,-4,-1;6,4,-1;8,0,-1;8,-2,1;8,2,1
105	2,0,1;2,-2,-1;2,2,-1;2,-4,1;2,4,1;4,0,4;4,-2,-3;4,2,-3;4,-4,3;4,4,3;4,-6,-1;4,6,-1;6,0,3;6,-2,-4;6,2,-4;6,-4,2;6,4,2;6,-6,-1;6,6,-1;8,0,1;8,-2,-1;8,2,-1;8,-4,1;8,4,1
106	0,0,5;0,-2,-4;0,2,-4;0,-4,2;0,4,2;0,-6,-1;0,6,-1;2,0,2;-2,0,4;2,-2,-1;2,2,-1;-2,-2,-4;-2,2,-4;2,-4,1;2,4,1;-2,-4,2;-2,4,2;-2,-6,-1;-2,6,-1;-4,0,2;-4,-2,-1;-4,2,-1;-4,-4,1;-4,4,1
107	0,0,-2;0,-2,2;0,2,2;0,-4,-1;0,4,-1;-2,0,-6;-2,-2,5;-2,2,5;-2,-4,-3;-2,4,-3;-2,-6,1;-2,6,1;-4,0,-5;-4,-2,5;-4,2,5;-4,-4,-2;-4,4,-2;-4,-6,1;-4,6,1;-6,0,-2;-6,-2,1;-6,2,1;-6,-4,-1;-6,4,-1
108	0,0,-1;0,-2,1;0,2,1;2,0,-5;2,-2,4;2,2,4;2,-4,-1;2,4,-1;4,0,-7;4,-2,5;4,2,5;4,-4,-2;4,4,-2;6,0,-5;6,-2,3;6,2,3;6,-4,-1;6,4,-1;8,0,-1;8,-2,1;8,2,1
109	2,0,2;2,-2,-1;2,2,-1;2,-4,1;2,4,1;4,0,6;4,-2,-5;4,2,-5;4,-4,3;4,4,3;4,-6,-1;4,6,-1;6,0,6;6,-2,-6;6,2,-6;6,-4,3;6,4,3;6,-6,-1;6,6,-1;8,0,3;8,-2,-2;8,2,-2;8,-4,1;8,4,1
110	0,0,7;0,-2,-5;0,2,-5;0,-4,3;0,4,3;0,-6,-1;0,6,-1;2,0,3;-2,0,5;2,-2,-2;2,2,-2;-2,-2,-5;-2,2,-5;2,-4,1;2,4,1;-2,-4,2;-2,4,2;-2,-6,-1;-2,6,-1;-4,0,2;-4,-2,-1;-4,2,-1;-4,-4,1;-4,4,1
